                   0                   0                   0
            0.736462            0.495687            0.460346
             1.51693             1.11775             0.52288
             2.33496             1.49683            0.955465
              2.1092             2.13817            0.222175
             2.82839             2.82118           0.0946604
             3.63696             3.19755            0.546957
             4.06645             3.60003           -0.261461
             3.46781             4.19615           -0.796499
             3.12368             4.42069            0.115179
              3.5524             5.07125           -0.511698
             4.15063              4.6992            -1.22141
             4.80519             5.39378           -0.922882
              3.8184             5.26975           -0.818641
             4.44951             5.32603          -0.0449935
             5.38252             5.48404           -0.368294
             5.40163             6.45699           -0.598491
             4.89839             6.45057            0.265633
              4.1165              7.0519            0.430041
             4.23856             6.13366           0.0533069
             3.54885             5.51329            -0.32011
             2.83739             6.20565           -0.440341
             1.90231             6.11537          -0.0976025
             1.03275             6.48026            0.235145
             0.73931              5.6711            0.744224
            0.804964             4.68391            0.598818
           -0.189022             4.71034            0.705081
            0.503278             4.04133            0.975521
           -0.130743             4.73122              1.3249
           -0.362148             3.77978             1.52793
           -0.107104             2.84089             1.29678
            0.706592             2.33741             1.00625
           0.0456837             2.08396             1.71263
          -0.0658728             1.34758             2.37994
           0.0396471            0.874865             3.25481
            0.246395              0.9738             2.28143
           -0.498781            0.545808             1.77002
             -1.3232            0.637149             2.32859
            -2.20818            0.608191              2.7933
            -1.82377             1.19586             3.50526
            -2.72426            0.922053             3.16737
            -3.31005            0.240695             3.60623
              -3.732           -0.459082             4.18266
            -3.24767           -0.638608             5.03893
            -3.61443            -1.56699             5.09893
            -4.49247            -1.72827             4.64833
            -4.28145            -2.48026             4.02385
            -3.74421            -1.63871             4.08005
            -3.77953            -2.59058             4.38451
            -3.65877            -2.07268             3.53763
            -4.29971            -1.61089             2.92449
            -4.69529            -2.50067              3.1521
            -4.32053            -2.79925             2.27437
            -4.50427            -3.36801             1.47266
            -5.14346            -3.48666             2.23249
             -5.8106            -3.53246             2.97602
            -4.93539            -4.01574             2.95486
            -5.23207             -4.6893             2.27789
            -4.65798            -4.21925             1.60746
            -4.73676            -5.00463             2.22144
             -5.6953             -5.2885             2.19677
            -6.19771            -4.93925             1.40582
            -5.71092            -5.69116             1.85041
            -5.86491            -5.28216            0.950961
            -5.49752            -5.94567            0.299216
            -6.40206             -6.1974          -0.0449478
            -6.14655            -5.23721           0.0679292
            -5.68267            -5.63677           -0.722743
            -5.40865            -6.54382            -1.04241
            -5.77427            -5.74951            -0.55722
             -5.9892            -5.70359             0.41833
            -6.34483            -5.63226             1.35023
            -6.19701            -5.28013            0.426023
            -5.35294            -5.08407            0.925123
            -4.90459            -4.19165            0.874389
            -4.01801            -4.64429            0.778998
            -4.90265            -4.18377             0.85199
            -5.87008            -4.33599             1.05427
            -5.46914            -4.39307            0.139944
            -4.87722            -5.12746            0.472061
            -5.14504            -5.06983              1.4338
            -4.51845             -5.8372             1.29767
            -3.97859            -6.27014            0.575786
             -4.7319            -5.94583             1.14793
            -4.96696            -5.14983            0.590142
            -4.82817            -6.10299            0.321417
            -5.77256            -5.78886             0.22422
            -4.90005            -5.40006          -0.0717167
            -4.91767            -4.79139           -0.864942
            -4.01908            -4.39023            -1.04271
            -4.75041            -3.78474           -0.728801
            -3.95572            -4.31507            -1.02414
            -4.18379            -4.12106            -1.97826
            -3.64241            -3.33206            -2.26875
            -4.20532            -3.80012            -2.94997
            -4.09014            -2.96022            -2.41959
            -4.31761            -2.10917            -1.94632
              -4.706            -3.02752             -1.8703
            -5.00183            -2.13551            -1.52856
            -5.12949            -3.01632            -1.07263
